level,cohort,suite,task,method,clusters,variant,calibration,alpha,episodes,failures,successes,tp,fn,fp,tn,recall,fpr,precision
all,all,all,all,c16_union_radius,16,union_radius,episode,0.02,32000,1096,30904,964,132,3444,27460,0.8795620437956204,0.11144188454568987,0.21869328493647913
all,all,all,all,c32_centroid_distance,32,centroid_distance,episode,0.02,32000,1096,30904,1056,40,4144,26760,0.9635036496350365,0.13409267408749675,0.20307692307692307
all,all,all,all,c32_assigned_radius,32,assigned_radius,episode,0.02,32000,1096,30904,1046,50,4787,26117,0.9543795620437956,0.15489904219518508,0.17932453283044744
all,all,all,all,c32_union_radius,32,union_radius,episode,0.02,32000,1096,30904,1036,60,3886,27018,0.9452554744525548,0.12574424022780223,0.21048354327509142
all,all,all,all,c64_centroid_distance,64,centroid_distance,episode,0.02,32000,1096,30904,1052,44,4568,26336,0.9598540145985401,0.14781258089567695,0.18718861209964413
all,all,all,all,c64_assigned_radius,64,assigned_radius,episode,0.02,32000,1096,30904,1064,32,4446,26458,0.9708029197080292,0.14386487186124775,0.19310344827586207
all,all,all,all,c64_union_radius,64,union_radius,episode,0.02,32000,1096,30904,1056,40,4152,26752,0.9635036496350365,0.13435154025368884,0.20276497695852536
all,all,all,all,knn20,0,knn20,episode,0.03,32000,1096,30904,1059,37,5502,25402,0.9662408759124088,0.17803520579860213,0.16140832190214907
all,all,all,all,norm_only,0,norm_only,episode,0.03,32000,1096,30904,924,172,2616,28288,0.843065693430657,0.08464923634480974,0.26101694915254237
all,all,all,all,c1_centroid_distance,1,centroid_distance,episode,0.03,32000,1096,30904,927,169,2900,28004,0.8458029197080292,0.09383898524462853,0.24222628690880585
all,all,all,all,c1_assigned_radius,1,assigned_radius,episode,0.03,32000,1096,30904,927,169,2900,28004,0.8458029197080292,0.09383898524462853,0.24222628690880585
all,all,all,all,c1_union_radius,1,union_radius,episode,0.03,32000,1096,30904,927,169,2900,28004,0.8458029197080292,0.09383898524462853,0.24222628690880585
all,all,all,all,c2_centroid_distance,2,centroid_distance,episode,0.03,32000,1096,30904,974,122,3359,27545,0.8886861313868614,0.10869143152989905,0.22478652204015692
all,all,all,all,c2_assigned_radius,2,assigned_radius,episode,0.03,32000,1096,30904,967,129,3485,27419,0.8822992700729927,0.11276857364742428,0.21720575022461816
all,all,all,all,c2_union_radius,2,union_radius,episode,0.03,32000,1096,30904,961,135,3471,27433,0.8768248175182481,0.11231555785658814,0.21683212996389892
all,all,all,all,c4_centroid_distance,4,centroid_distance,episode,0.03,32000,1096,30904,1038,58,3081,27823,0.9470802919708029,0.09969583225472431,0.2520029133284778
all,all,all,all,c4_assigned_radius,4,assigned_radius,episode,0.03,32000,1096,30904,1041,55,2705,28199,0.9498175182481752,0.08752912244369661,0.2778964228510411
all,all,all,all,c4_union_radius,4,union_radius,episode,0.03,32000,1096,30904,1038,58,2919,27985,0.9470802919708029,0.09445379238933471,0.2623199393479909
all,all,all,all,c8_centroid_distance,8,centroid_distance,episode,0.03,32000,1096,30904,1042,54,4022,26882,0.9507299270072993,0.13014496505306755,0.20576619273301738
all,all,all,all,c8_assigned_radius,8,assigned_radius,episode,0.03,32000,1096,30904,1050,46,4185,26719,0.958029197080292,0.13541936318923117,0.20057306590257878
all,all,all,all,c8_union_radius,8,union_radius,episode,0.03,32000,1096,30904,1045,51,4069,26835,0.9534671532846716,0.13166580377944603,0.20434102463824794
all,all,all,all,c16_centroid_distance,16,centroid_distance,episode,0.03,32000,1096,30904,1050,46,5093,25811,0.958029197080292,0.1648006730520321,0.17092625752889468
all,all,all,all,c16_assigned_radius,16,assigned_radius,episode,0.03,32000,1096,30904,1027,69,5103,25801,0.9370437956204379,0.1651242557597722,0.167536704730832
all,all,all,all,c16_union_radius,16,union_radius,episode,0.03,32000,1096,30904,1021,75,4674,26230,0.9315693430656934,0.15124255759772198,0.17928007023705003
all,all,all,all,c32_centroid_distance,32,centroid_distance,episode,0.03,32000,1096,30904,1068,28,5340,25564,0.9744525547445255,0.17279316593321253,0.16666666666666666
all,all,all,all,c32_assigned_radius,32,assigned_radius,episode,0.03,32000,1096,30904,1070,26,5693,25211,0.9762773722627737,0.184215635516438,0.15821381043915422
all,all,all,all,c32_union_radius,32,union_radius,episode,0.03,32000,1096,30904,1049,47,4937,25967,0.9571167883211679,0.15975278281128658,0.17524223187437354
all,all,all,all,c64_centroid_distance,64,centroid_distance,episode,0.03,32000,1096,30904,1070,26,5547,25357,0.9762773722627737,0.17949132798343256,0.16170470001511258
all,all,all,all,c64_assigned_radius,64,assigned_radius,episode,0.03,32000,1096,30904,1075,21,5633,25271,0.9808394160583942,0.18227413926999742,0.16025641025641027
all,all,all,all,c64_union_radius,64,union_radius,episode,0.03,32000,1096,30904,1075,21,5476,25428,0.9808394160583942,0.17719389075847786,0.1640970844145932
all,all,all,all,knn20,0,knn20,episode,0.05,32000,1096,30904,1076,20,6941,23963,0.9817518248175182,0.2245987574424023,0.1342147935636772
all,all,all,all,norm_only,0,norm_only,episode,0.05,32000,1096,30904,967,129,3382,27522,0.8822992700729927,0.10943567175770127,0.2223499655093125
all,all,all,all,c1_centroid_distance,1,centroid_distance,episode,0.05,32000,1096,30904,967,129,3534,27370,0.8822992700729927,0.11435412891535077,0.21484114641190846
all,all,all,all,c1_assigned_radius,1,assigned_radius,episode,0.05,32000,1096,30904,967,129,3534,27370,0.8822992700729927,0.11435412891535077,0.21484114641190846
all,all,all,all,c1_union_radius,1,union_radius,episode,0.05,32000,1096,30904,967,129,3534,27370,0.8822992700729927,0.11435412891535077,0.21484114641190846
all,all,all,all,c2_centroid_distance,2,centroid_distance,episode,0.05,32000,1096,30904,1008,88,4201,26703,0.9197080291970803,0.13593709552161531,0.193511230562488
all,all,all,all,c2_assigned_radius,2,assigned_radius,episode,0.05,32000,1096,30904,987,109,4435,26469,0.9005474452554745,0.14350893088273362,0.18203614902250093
all,all,all,all,c2_union_radius,2,union_radius,episode,0.05,32000,1096,30904,978,118,4378,26526,0.8923357664233577,0.14166450944861506,0.18259895444361463
all,all,all,all,c4_centroid_distance,4,centroid_distance,episode,0.05,32000,1096,30904,1062,34,4286,26618,0.968978102189781,0.13868754853740617,0.19857890800299177
all,all,all,all,c4_assigned_radius,4,assigned_radius,episode,0.05,32000,1096,30904,1070,26,4024,26880,0.9762773722627737,0.13020968159461557,0.21005104043973302
all,all,all,all,c4_union_radius,4,union_radius,episode,0.05,32000,1096,30904,1066,30,4355,26549,0.9726277372262774,0.14092026922081283,0.19664268585131894
all,all,all,all,c8_centroid_distance,8,centroid_distance,episode,0.05,32000,1096,30904,1067,29,5734,25170,0.9735401459854015,0.1855423246181724,0.15688869283928833
all,all,all,all,c8_assigned_radius,8,assigned_radius,episode,0.05,32000,1096,30904,1076,20,5678,25226,0.9817518248175182,0.18373026145482785,0.1593129997038792
all,all,all,all,c8_union_radius,8,union_radius,episode,0.05,32000,1096,30904,1059,37,5509,25395,0.9662408759124088,0.1782617136940202,0.16123629719853838
all,all,all,all,c16_centroid_distance,16,centroid_distance,episode,0.05,32000,1096,30904,1078,18,6721,24183,0.9835766423357665,0.2174799378721201,0.1382228490832158
all,all,all,all,c16_assigned_radius,16,assigned_radius,episode,0.05,32000,1096,30904,1063,33,6786,24118,0.9698905109489051,0.21958322547243075,0.13543126512931583
all,all,all,all,c16_union_radius,16,union_radius,episode,0.05,32000,1096,30904,1052,44,6403,24501,0.9598540145985401,0.20719000776598498,0.14111334674714957
all,all,all,all,c32_centroid_distance,32,centroid_distance,episode,0.05,32000,1096,30904,1081,15,6791,24113,0.9863138686131386,0.2197450168263008,0.13732215447154472
all,all,all,all,c32_assigned_radius,32,assigned_radius,episode,0.05,32000,1096,30904,1083,13,7245,23659,0.9881386861313869,0.23443567175770127,0.13004322766570606
all,all,all,all,c32_union_radius,32,union_radius,episode,0.05,32000,1096,30904,1077,19,6922,23982,0.9826642335766423,0.2239839502976961,0.1346418302287786
all,all,all,all,c64_centroid_distance,64,centroid_distance,episode,0.05,32000,1096,30904,1079,17,7114,23790,0.9844890510948905,0.230196738286306,0.13169779079702185
all,all,all,all,c64_assigned_radius,64,assigned_radius,episode,0.05,32000,1096,30904,1085,11,7205,23699,0.989963503649635,0.23314134092674088,0.13088057901085645
all,all,all,all,c64_union_radius,64,union_radius,episode,0.05,32000,1096,30904,1087,9,7211,23693,0.9917883211678832,0.23333549055138494,0.13099542058327307
all,all,all,all,knn20,0,knn20,episode,0.1,32000,1096,30904,1090,6,9819,21085,0.9945255474452555,0.3177258607300026,0.09991749931249427
all,all,all,all,norm_only,0,norm_only,episode,0.1,32000,1096,30904,1017,79,5045,25859,0.9279197080291971,0.16324747605487963,0.1677664137248433
all,all,all,all,c1_centroid_distance,1,centroid_distance,episode,0.1,32000,1096,30904,1016,80,5210,25694,0.927007299270073,0.16858659073259125,0.1631866366848699
all,all,all,all,c1_assigned_radius,1,assigned_radius,episode,0.1,32000,1096,30904,1016,80,5210,25694,0.927007299270073,0.16858659073259125,0.1631866366848699
all,all,all,all,c1_union_radius,1,union_radius,episode,0.1,32000,1096,30904,1016,80,5210,25694,0.927007299270073,0.16858659073259125,0.1631866366848699
all,all,all,all,c2_centroid_distance,2,centroid_distance,episode,0.1,32000,1096,30904,1054,42,5859,25045,0.9616788321167883,0.18958710846492363,0.15246636771300448
all,all,all,all,c2_assigned_radius,2,assigned_radius,episode,0.1,32000,1096,30904,1043,53,6175,24729,0.9516423357664233,0.19981232202951074,0.14449986145746743
all,all,all,all,c2_union_radius,2,union_radius,episode,0.1,32000,1096,30904,1033,63,6124,24780,0.9425182481751825,0.19816205022003625,0.1443342182478692
all,all,all,all,c4_centroid_distance,4,centroid_distance,episode,0.1,32000,1096,30904,1086,10,6655,24249,0.9908759124087592,0.21534429200103547,0.14029195194419325
all,all,all,all,c4_assigned_radius,4,assigned_radius,episode,0.1,32000,1096,30904,1083,13,6491,24413,0.9881386861313869,0.21003753559409785,0.14298917348824927
all,all,all,all,c4_union_radius,4,union_radius,episode,0.1,32000,1096,30904,1087,9,6933,23971,0.9917883211678832,0.2243398912762102,0.13553615960099752
all,all,all,all,c8_centroid_distance,8,centroid_distance,episode,0.1,32000,1096,30904,1086,10,8415,22489,0.9908759124087592,0.2722948485632928,0.11430375749921061
all,all,all,all,c8_assigned_radius,8,assigned_radius,episode,0.1,32000,1096,30904,1084,12,8487,22417,0.9890510948905109,0.2746246440590215,0.11325880263295371
all,all,all,all,c8_union_radius,8,union_radius,episode,0.1,32000,1096,30904,1076,20,8317,22587,0.9817518248175182,0.26912373802743983,0.11455339082295327
all,all,all,all,c16_centroid_distance,16,centroid_distance,episode,0.1,32000,1096,30904,1088,8,9386,21518,0.9927007299270073,0.30371472948485634,0.10387626503723506
all,all,all,all,c16_assigned_radius,16,assigned_radius,episode,0.1,32000,1096,30904,1083,13,9462,21442,0.9881386861313869,0.3061739580636811,0.10270270270270271
all,all,all,all,c16_union_radius,16,union_radius,episode,0.1,32000,1096,30904,1076,20,9170,21734,0.9817518248175182,0.2967253429976702,0.10501659184071833
all,all,all,all,c32_centroid_distance,32,centroid_distance,episode,0.1,32000,1096,30904,1091,5,9352,21552,0.9954379562043796,0.30261454827854,0.10447189504931532
all,all,all,all,c32_assigned_radius,32,assigned_radius,episode,0.1,32000,1096,30904,1089,7,9891,21013,0.9936131386861314,0.3200556562257313,0.09918032786885246
all,all,all,all,c32_union_radius,32,union_radius,episode,0.1,32000,1096,30904,1088,8,9800,21104,0.9927007299270073,0.3171110535852964,0.09992652461425422
all,all,all,all,c64_centroid_distance,64,centroid_distance,episode,0.1,32000,1096,30904,1094,2,10038,20866,0.9981751824817519,0.32481232202951077,0.09827524254401725
all,all,all,all,c64_assigned_radius,64,assigned_radius,episode,0.1,32000,1096,30904,1092,4,9978,20926,0.9963503649635036,0.32287082578307014,0.0986449864498645
all,all,all,all,c64_union_radius,64,union_radius,episode,0.1,32000,1096,30904,1094,2,10220,20684,0.9981751824817519,0.33070152731038055,0.09669436096871133
all,all,all,all,knn20,0,knn20,task_init,0.02,32000,1096,30904,773,323,1318,29586,0.7052919708029197,0.04264820088014497,0.3696795791487327
all,all,all,all,norm_only,0,norm_only,task_init,0.02,32000,1096,30904,727,369,966,29938,0.6633211678832117,0.0312580895676935,0.42941523922031893
all,all,all,all,c1_centroid_distance,1,centroid_distance,task_init,0.02,32000,1096,30904,727,369,1082,29822,0.6633211678832117,0.035011648977478646,0.40187949143173024
all,all,all,all,c1_assigned_radius,1,assigned_radius,task_init,0.02,32000,1096,30904,727,369,1082,29822,0.6633211678832117,0.035011648977478646,0.40187949143173024
all,all,all,all,c1_union_radius,1,union_radius,task_init,0.02,32000,1096,30904,727,369,1082,29822,0.6633211678832117,0.035011648977478646,0.40187949143173024
all,all,all,all,c2_centroid_distance,2,centroid_distance,task_init,0.02,32000,1096,30904,765,331,971,29933,0.697992700729927,0.03141988092156355,0.440668202764977
all,all,all,all,c2_assigned_radius,2,assigned_radius,task_init,0.02,32000,1096,30904,758,338,971,29933,0.6916058394160584,0.03141988092156355,0.4384037015615963
all,all,all,all,c2_union_radius,2,union_radius,task_init,0.02,32000,1096,30904,758,338,969,29935,0.6916058394160584,0.03135516438001553,0.4389114070642733
all,all,all,all,c4_centroid_distance,4,centroid_distance,task_init,0.02,32000,1096,30904,741,355,432,30472,0.676094890510949,0.01397877297437225,0.6317135549872123
all,all,all,all,c4_assigned_radius,4,assigned_radius,task_init,0.02,32000,1096,30904,721,375,401,30503,0.6578467153284672,0.012975666580377944,0.642602495543672
all,all,all,all,c4_union_radius,4,union_radius,task_init,0.02,32000,1096,30904,731,365,417,30487,0.666970802919708,0.013493398912762102,0.6367595818815331
all,all,all,all,c8_centroid_distance,8,centroid_distance,task_init,0.02,32000,1096,30904,727,369,883,30021,0.6633211678832117,0.028572353093450686,0.4515527950310559
all,all,all,all,c8_assigned_radius,8,assigned_radius,task_init,0.02,32000,1096,30904,635,461,619,30285,0.5793795620437956,0.02002976960911209,0.5063795853269537
all,all,all,all,c8_union_radius,8,union_radius,task_init,0.02,32000,1096,30904,743,353,754,30150,0.6779197080291971,0.024398136163603416,0.49632598530394123
all,all,all,all,c16_centroid_distance,16,centroid_distance,task_init,0.02,32000,1096,30904,738,358,959,29945,0.6733576642335767,0.031031581672275432,0.4348850913376547
all,all,all,all,c16_assigned_radius,16,assigned_radius,task_init,0.02,32000,1096,30904,543,553,820,30084,0.4954379562043796,0.026533782034688067,0.3983859134262656
all,all,all,all,c16_union_radius,16,union_radius,task_init,0.02,32000,1096,30904,659,437,556,30348,0.6012773722627737,0.01799119855034947,0.5423868312757202
all,all,all,all,c32_centroid_distance,32,centroid_distance,task_init,0.02,32000,1096,30904,775,321,1249,29655,0.7071167883211679,0.04041548019673829,0.38290513833992096
all,all,all,all,c32_assigned_radius,32,assigned_radius,task_init,0.02,32000,1096,30904,711,385,995,29909,0.6487226277372263,0.03219647942013979,0.4167643610785463
all,all,all,all,c32_union_radius,32,union_radius,task_init,0.02,32000,1096,30904,753,343,686,30218,0.6870437956204379,0.022197773750970748,0.5232800555941626
all,all,all,all,c64_centroid_distance,64,centroid_distance,task_init,0.02,32000,1096,30904,657,439,935,29969,0.5994525547445255,0.030254983173699197,0.4126884422110553
all,all,all,all,c64_assigned_radius,64,assigned_radius,task_init,0.02,32000,1096,30904,660,436,1113,29791,0.6021897810218978,0.036014755371472945,0.37225042301184436
all,all,all,all,c64_union_radius,64,union_radius,task_init,0.02,32000,1096,30904,730,366,798,30106,0.666058394160584,0.02582190007765985,0.47774869109947643
all,all,all,all,knn20,0,knn20,task_init,0.03,32000,1096,30904,871,225,2190,28714,0.7947080291970803,0.07086461299508154,0.284547533485789
all,all,all,all,norm_only,0,norm_only,task_init,0.03,32000,1096,30904,786,310,1313,29591,0.7171532846715328,0.042486409526274915,0.37446403049070986
all,all,all,all,c1_centroid_distance,1,centroid_distance,task_init,0.03,32000,1096,30904,787,309,1405,29499,0.718065693430657,0.04546337043748382,0.3590328467153285
all,all,all,all,c1_assigned_radius,1,assigned_radius,task_init,0.03,32000,1096,30904,787,309,1405,29499,0.718065693430657,0.04546337043748382,0.3590328467153285
all,all,all,all,c1_union_radius,1,union_radius,task_init,0.03,32000,1096,30904,787,309,1405,29499,0.718065693430657,0.04546337043748382,0.3590328467153285
all,all,all,all,c2_centroid_distance,2,centroid_distance,task_init,0.03,32000,1096,30904,825,271,1544,29360,0.7527372262773723,0.04996117007507119,0.34824820599409034
all,all,all,all,c2_assigned_radius,2,assigned_radius,task_init,0.03,32000,1096,30904,828,268,1478,29426,0.7554744525547445,0.04782552420398654,0.3590633130962706
all,all,all,all,c2_union_radius,2,union_radius,task_init,0.03,32000,1096,30904,828,268,1476,29428,0.7554744525547445,0.047760807662438516,0.359375
all,all,all,all,c4_centroid_distance,4,centroid_distance,task_init,0.03,32000,1096,30904,851,245,985,29919,0.7764598540145985,0.03187289671239969,0.46350762527233114
all,all,all,all,c4_assigned_radius,4,assigned_radius,task_init,0.03,32000,1096,30904,841,255,949,29955,0.7673357664233577,0.030707998964535334,0.46983240223463685
all,all,all,all,c4_union_radius,4,union_radius,task_init,0.03,32000,1096,30904,865,231,997,29907,0.7892335766423357,0.032261195961687805,0.46455424274973145
all,all,all,all,c8_centroid_distance,8,centroid_distance,task_init,0.03,32000,1096,30904,865,231,1585,29319,0.7892335766423357,0.05128785917680559,0.35306122448979593
all,all,all,all,c8_assigned_radius,8,assigned_radius,task_init,0.03,32000,1096,30904,870,226,1522,29382,0.7937956204379562,0.04924928811804297,0.3637123745819398
all,all,all,all,c8_union_radius,8,union_radius,task_init,0.03,32000,1096,30904,846,250,1586,29318,0.7718978102189781,0.0513202174475796,0.34786184210526316
all,all,all,all,c16_centroid_distance,16,centroid_distance,task_init,0.03,32000,1096,30904,871,225,1862,29042,0.7947080291970803,0.060251100181206316,0.31869740212221004
all,all,all,all,c16_assigned_radius,16,assigned_radius,task_init,0.03,32000,1096,30904,641,455,1959,28945,0.5848540145985401,0.06338985244628527,0.24653846153846154
all,all,all,all,c16_union_radius,16,union_radius,task_init,0.03,32000,1096,30904,839,257,1645,29259,0.7655109489051095,0.05322935542324618,0.33776167471819646
all,all,all,all,c32_centroid_distance,32,centroid_distance,task_init,0.03,32000,1096,30904,879,217,2077,28827,0.802007299270073,0.06720812839761843,0.29736129905277403
all,all,all,all,c32_assigned_radius,32,assigned_radius,task_init,0.03,32000,1096,30904,825,271,1707,29197,0.7527372262773723,0.05523556821123479,0.32582938388625593
all,all,all,all,c32_union_radius,32,union_radius,task_init,0.03,32000,1096,30904,855,241,1391,29513,0.7801094890510949,0.04501035464664768,0.3806767586821015
all,all,all,all,c64_centroid_distance,64,centroid_distance,task_init,0.03,32000,1096,30904,854,242,2324,28580,0.7791970802919708,0.07520062127879885,0.2687224669603524
all,all,all,all,c64_assigned_radius,64,assigned_radius,task_init,0.03,32000,1096,30904,851,245,1840,29064,0.7764598540145985,0.0595392182241781,0.3162393162393162
all,all,all,all,c64_union_radius,64,union_radius,task_init,0.03,32000,1096,30904,835,261,1879,29025,0.7618613138686131,0.06080119078436448,0.30766396462785556
all,all,all,all,knn20,0,knn20,task_init,0.05,32000,1096,30904,977,119,2754,28150,0.8914233576642335,0.0891146777116231,0.2618600911283838
all,all,all,all,norm_only,0,norm_only,task_init,0.05,32000,1096,30904,824,272,1467,29437,0.7518248175182481,0.04746958322547243,0.35966826713225664
all,all,all,all,c1_centroid_distance,1,centroid_distance,task_init,0.05,32000,1096,30904,831,265,1721,29183,0.7582116788321168,0.055688584002070926,0.3256269592476489
all,all,all,all,c1_assigned_radius,1,assigned_radius,task_init,0.05,32000,1096,30904,831,265,1721,29183,0.7582116788321168,0.055688584002070926,0.3256269592476489
all,all,all,all,c1_union_radius,1,union_radius,task_init,0.05,32000,1096,30904,831,265,1721,29183,0.7582116788321168,0.055688584002070926,0.3256269592476489
all,all,all,all,c2_centroid_distance,2,centroid_distance,task_init,0.05,32000,1096,30904,883,213,1952,28952,0.8056569343065694,0.0631633445508672,0.31146384479717815
all,all,all,all,c2_assigned_radius,2,assigned_radius,task_init,0.05,32000,1096,30904,872,224,1940,28964,0.7956204379562044,0.06277504530157908,0.310099573257468
all,all,all,all,c2_union_radius,2,union_radius,task_init,0.05,32000,1096,30904,871,225,1950,28954,0.7947080291970803,0.06309862800931919,0.3087557603686636
all,all,all,all,c4_centroid_distance,4,centroid_distance,task_init,0.05,32000,1096,30904,931,165,1279,29625,0.8494525547445255,0.041386228319958585,0.42126696832579186
all,all,all,all,c4_assigned_radius,4,assigned_radius,task_init,0.05,32000,1096,30904,942,154,1220,29684,0.8594890510948905,0.039477090344292004,0.4357076780758557
all,all,all,all,c4_union_radius,4,union_radius,task_init,0.05,32000,1096,30904,914,182,1188,29716,0.833941605839416,0.03844162567952369,0.43482397716460514
all,all,all,all,c8_centroid_distance,8,centroid_distance,task_init,0.05,32000,1096,30904,920,176,1965,28939,0.8394160583941606,0.06358400207092933,0.3188908145580589
all,all,all,all,c8_assigned_radius,8,assigned_radius,task_init,0.05,32000,1096,30904,920,176,1872,29032,0.8394160583941606,0.060574682888946414,0.32951289398280803
all,all,all,all,c8_union_radius,8,union_radius,task_init,0.05,32000,1096,30904,900,196,1869,29035,0.8211678832116789,0.06047760807662438,0.3250270855904659
all,all,all,all,c16_centroid_distance,16,centroid_distance,task_init,0.05,32000,1096,30904,925,171,2271,28633,0.843978102189781,0.07348563292777634,0.28942428035043805
all,all,all,all,c16_assigned_radius,16,assigned_radius,task_init,0.05,32000,1096,30904,794,302,2423,28481,0.7244525547445255,0.07840409008542583,0.24681380167858252
all,all,all,all,c16_union_radius,16,union_radius,task_init,0.05,32000,1096,30904,855,241,1754,29150,0.7801094890510949,0.05675640693761325,0.3277117669605213
all,all,all,all,c32_centroid_distance,32,centroid_distance,task_init,0.05,32000,1096,30904,991,105,2867,28037,0.9041970802919708,0.0927711623090862,0.25686884396060133
all,all,all,all,c32_assigned_radius,32,assigned_radius,task_init,0.05,32000,1096,30904,982,114,2906,27998,0.8959854014598541,0.09403313486927259,0.2525720164609053
all,all,all,all,c32_union_radius,32,union_radius,task_init,0.05,32000,1096,30904,921,175,1799,29105,0.8403284671532847,0.0582125291224437,0.3386029411764706
all,all,all,all,c64_centroid_distance,64,centroid_distance,task_init,0.05,32000,1096,30904,977,119,2608,28296,0.8914233576642335,0.08439037017861765,0.2725244072524407
all,all,all,all,c64_assigned_radius,64,assigned_radius,task_init,0.05,32000,1096,30904,999,97,2451,28453,0.9114963503649635,0.07931012166709811,0.28956521739130436
all,all,all,all,c64_union_radius,64,union_radius,task_init,0.05,32000,1096,30904,980,116,2555,28349,0.8941605839416058,0.08267538182759514,0.27722772277227725
all,all,all,all,knn20,0,knn20,task_init,0.1,32000,1096,30904,1050,46,4874,26030,0.958029197080292,0.15771421175252395,0.1772451046590142
all,all,all,all,norm_only,0,norm_only,task_init,0.1,32000,1096,30904,920,176,2808,28096,0.8394160583941606,0.09086202433341962,0.24678111587982832
all,all,all,all,c1_centroid_distance,1,centroid_distance,task_init,0.1,32000,1096,30904,922,174,2942,27962,0.8412408759124088,0.09519803261713694,0.2386128364389234
all,all,all,all,c1_assigned_radius,1,assigned_radius,task_init,0.1,32000,1096,30904,922,174,2942,27962,0.8412408759124088,0.09519803261713694,0.2386128364389234
all,all,all,all,c1_union_radius,1,union_radius,task_init,0.1,32000,1096,30904,922,174,2942,27962,0.8412408759124088,0.09519803261713694,0.2386128364389234
all,all,all,all,c2_centroid_distance,2,centroid_distance,task_init,0.1,32000,1096,30904,957,139,3116,27788,0.8731751824817519,0.10082837173181465,0.23496194451264424
all,all,all,all,c2_assigned_radius,2,assigned_radius,task_init,0.1,32000,1096,30904,950,146,3157,27747,0.8667883211678832,0.10215506083354906,0.23131239347455565
all,all,all,all,c2_union_radius,2,union_radius,task_init,0.1,32000,1096,30904,945,151,3201,27703,0.8622262773722628,0.10357882474760549,0.22793053545586106
all,all,all,all,c4_centroid_distance,4,centroid_distance,task_init,0.1,32000,1096,30904,1018,78,2616,28288,0.9288321167883211,0.08464923634480974,0.2801320858558063
all,all,all,all,c4_assigned_radius,4,assigned_radius,task_init,0.1,32000,1096,30904,1018,78,2347,28557,0.9288321167883211,0.07594486150660108,0.3025260029717682
all,all,all,all,c4_union_radius,4,union_radius,task_init,0.1,32000,1096,30904,997,99,2472,28432,0.9096715328467153,0.07998964535335232,0.2874027097146152
all,all,all,all,c8_centroid_distance,8,centroid_distance,task_init,0.1,32000,1096,30904,1017,79,3792,27112,0.9279197080291971,0.1227025627750453,0.2114784778540237
all,all,all,all,c8_assigned_radius,8,assigned_radius,task_init,0.1,32000,1096,30904,1013,83,3457,27447,0.9242700729927007,0.11186254206575201,0.2266219239373602
all,all,all,all,c8_union_radius,8,union_radius,task_init,0.1,32000,1096,30904,1005,91,3353,27551,0.916970802919708,0.10849728190525498,0.23061037173015145
all,all,all,all,c16_centroid_distance,16,centroid_distance,task_init,0.1,32000,1096,30904,1039,57,4351,26553,0.947992700729927,0.1407908361377168,0.1927643784786642
