stage,corpus,contrast,block,denoise,channel,bins,variant,group,auc,n_pos,n_neg,p_marg,p_fwer,note
grid,B,stagnation_vs_loop,front,0,state,3,main,,0.997093023255814,128,41,,,
grid,B,stagnation_vs_loop,front,0,state,5,main,,0.9941860465116279,128,41,,,
grid,B,stagnation_vs_loop,front,0,state,8,main,,0.9941860465116279,128,41,,,
grid,B,stagnation_vs_loop,front,0,state,10,main,,0.9941860465116279,128,41,,,
grid,B,stagnation_vs_loop,front,0,action,3,main,,0.8081395348837209,128,41,,,
grid,B,stagnation_vs_loop,front,0,action,5,main,,0.8168604651162791,128,41,,,
grid,B,stagnation_vs_loop,front,0,action,8,main,,0.8401162790697675,128,41,,,
grid,B,stagnation_vs_loop,front,0,action,10,main,,0.8284883720930233,128,41,,,
grid,B,stagnation_vs_loop,front,0,both,3,main,,0.997093023255814,128,41,,,
grid,B,stagnation_vs_loop,front,0,both,5,main,,0.997093023255814,128,41,,,
grid,B,stagnation_vs_loop,front,0,both,8,main,,0.997093023255814,128,41,,,
grid,B,stagnation_vs_loop,front,0,both,10,main,,0.9941860465116279,128,41,,,
grid,B,stagnation_vs_other,back,9,state,3,main,,1.0,128,47,,,
grid,B,stagnation_vs_other,back,9,state,5,main,,0.9973045822102425,128,47,,,
grid,B,stagnation_vs_other,back,9,state,8,main,,1.0,128,47,,,
grid,B,stagnation_vs_other,back,9,state,10,main,,1.0,128,47,,,
grid,B,stagnation_vs_other,back,9,action,3,main,,1.0,128,47,,,
grid,B,stagnation_vs_other,back,9,action,5,main,,0.9946091644204852,128,47,,,
grid,B,stagnation_vs_other,back,9,action,8,main,,1.0,128,47,,,
grid,B,stagnation_vs_other,back,9,action,10,main,,0.9946091644204852,128,47,,,
grid,B,stagnation_vs_other,back,9,both,3,main,,1.0,128,47,,,
grid,B,stagnation_vs_other,back,9,both,5,main,,0.9973045822102425,128,47,,,
grid,B,stagnation_vs_other,back,9,both,8,main,,1.0,128,47,,,
grid,B,stagnation_vs_other,back,9,both,10,main,,1.0,128,47,,,
grid,B,stagnation_vs_other,back,0,state,3,main,,1.0,128,47,,,
grid,B,stagnation_vs_other,back,0,state,5,main,,0.9973045822102425,128,47,,,
grid,B,stagnation_vs_other,back,0,state,8,main,,1.0,128,47,,,
grid,B,stagnation_vs_other,back,0,state,10,main,,1.0,128,47,,,
grid,B,stagnation_vs_other,back,0,action,3,main,,0.9946091644204852,128,47,,,
grid,B,stagnation_vs_other,back,0,action,5,main,,0.9919137466307277,128,47,,,
grid,B,stagnation_vs_other,back,0,action,8,main,,0.9919137466307277,128,47,,,
grid,B,stagnation_vs_other,back,0,action,10,main,,0.9811320754716981,128,47,,,
grid,B,stagnation_vs_other,back,0,both,3,main,,0.9973045822102425,128,47,,,
grid,B,stagnation_vs_other,back,0,both,5,main,,1.0,128,47,,,
grid,B,stagnation_vs_other,back,0,both,8,main,,1.0,128,47,,,
grid,B,stagnation_vs_other,back,0,both,10,main,,0.9973045822102425,128,47,,,
grid,B,stagnation_vs_other,front,9,state,3,main,,1.0,128,47,,,
grid,B,stagnation_vs_other,front,9,state,5,main,,0.9946091644204852,128,47,,,
grid,B,stagnation_vs_other,front,9,state,8,main,,0.9946091644204852,128,47,,,
grid,B,stagnation_vs_other,front,9,state,10,main,,0.9946091644204852,128,47,,,
grid,B,stagnation_vs_other,front,9,action,3,main,,0.9757412398921833,128,47,,,
grid,B,stagnation_vs_other,front,9,action,5,main,,0.9892183288409704,128,47,,,
grid,B,stagnation_vs_other,front,9,action,8,main,,0.9892183288409704,128,47,,,
grid,B,stagnation_vs_other,front,9,action,10,main,,0.9865229110512129,128,47,,,
grid,B,stagnation_vs_other,front,9,both,3,main,,0.9946091644204852,128,47,,,
grid,B,stagnation_vs_other,front,9,both,5,main,,0.9946091644204852,128,47,,,
grid,B,stagnation_vs_other,front,9,both,8,main,,0.9946091644204852,128,47,,,
grid,B,stagnation_vs_other,front,9,both,10,main,,0.9892183288409704,128,47,,,
grid,B,stagnation_vs_other,front,0,state,3,main,,1.0,128,47,,,
grid,B,stagnation_vs_other,front,0,state,5,main,,0.9946091644204852,128,47,,,
grid,B,stagnation_vs_other,front,0,state,8,main,,0.9946091644204852,128,47,,,
grid,B,stagnation_vs_other,front,0,state,10,main,,0.9946091644204852,128,47,,,
grid,B,stagnation_vs_other,front,0,action,3,main,,0.8517520215633423,128,47,,,
grid,B,stagnation_vs_other,front,0,action,5,main,,0.7250673854447439,128,47,,,
grid,B,stagnation_vs_other,front,0,action,8,main,,0.7223719676549866,128,47,,,
grid,B,stagnation_vs_other,front,0,action,10,main,,0.8301886792452831,128,47,,,
grid,B,stagnation_vs_other,front,0,both,3,main,,0.9946091644204852,128,47,,,
grid,B,stagnation_vs_other,front,0,both,5,main,,0.9892183288409704,128,47,,,
grid,B,stagnation_vs_other,front,0,both,8,main,,0.9892183288409704,128,47,,,
grid,B,stagnation_vs_other,front,0,both,10,main,,0.9919137466307277,128,47,,,
grid,B,loop_vs_other,back,9,state,3,main,,0.791907514450867,41,47,,,
grid,B,loop_vs_other,back,9,state,5,main,,0.7341040462427746,41,47,,,
grid,B,loop_vs_other,back,9,state,8,main,,0.8092485549132948,41,47,,,
grid,B,loop_vs_other,back,9,state,10,main,,0.7803468208092486,41,47,,,
grid,B,loop_vs_other,back,9,action,3,main,,0.8497109826589595,41,47,,,
grid,B,loop_vs_other,back,9,action,5,main,,0.791907514450867,41,47,,,
grid,B,loop_vs_other,back,9,action,8,main,,0.7861271676300579,41,47,,,
grid,B,loop_vs_other,back,9,action,10,main,,0.7225433526011561,41,47,,,
grid,B,loop_vs_other,back,9,both,3,main,,0.8208092485549133,41,47,,,
grid,B,loop_vs_other,back,9,both,5,main,,0.7167630057803468,41,47,,,
grid,B,loop_vs_other,back,9,both,8,main,,0.7976878612716763,41,47,,,
grid,B,loop_vs_other,back,9,both,10,main,,0.7398843930635838,41,47,,,
grid,B,loop_vs_other,back,0,state,3,main,,0.791907514450867,41,47,,,
grid,B,loop_vs_other,back,0,state,5,main,,0.7341040462427746,41,47,,,
grid,B,loop_vs_other,back,0,state,8,main,,0.8092485549132948,41,47,,,
grid,B,loop_vs_other,back,0,state,10,main,,0.7803468208092486,41,47,,,
grid,B,loop_vs_other,back,0,action,3,main,,0.7687861271676301,41,47,,,
grid,B,loop_vs_other,back,0,action,5,main,,0.7109826589595376,41,47,,,
grid,B,loop_vs_other,back,0,action,8,main,,0.6878612716763006,41,47,,,
grid,B,loop_vs_other,back,0,action,10,main,,0.7167630057803468,41,47,,,
grid,B,loop_vs_other,back,0,both,3,main,,0.7687861271676301,41,47,,,
grid,B,loop_vs_other,back,0,both,5,main,,0.7341040462427746,41,47,,,
grid,B,loop_vs_other,back,0,both,8,main,,0.7398843930635838,41,47,,,
grid,B,loop_vs_other,back,0,both,10,main,,0.7456647398843931,41,47,,,
grid,B,loop_vs_other,front,9,state,3,main,,0.7630057803468208,41,47,,,
